Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm,Test Accuracy
147,0.6934656500816345,0.07688272293699118,0.023817062377929688,0.6939688920974731,0.12420396781143662,0.49000000953674316
148,0.6934597492218018,0.07687667465669704,0.023919105529785156,0.6939648389816284,0.12419670959208905,0.49000000953674316
149,0.693453848361969,0.07687063468382752,0.024103879928588867,0.6939607262611389,0.12418944113544103,0.49000000953674316
150,0.6934479475021362,0.07686459713579055,0.02553391456604004,0.6939566731452942,0.12418220167891435,0.49000000953674316
151,0.6934419870376587,0.07685857692177685,0.02398204803466797,0.6939526200294495,0.12417494002653551,0.49000000953674316
152,0.6934361457824707,0.07685255234714304,0.024013757705688477,0.69394850730896,0.12416770027032885,0.49000000953674316
153,0.6934301853179932,0.07684654510318115,0.025141000747680664,0.6939444541931152,0.12416046932997767,0.49000000953674316
154,0.6934242844581604,0.07684052446937868,0.024158954620361328,0.6939404010772705,0.12415324010205679,0.48875001072883606
155,0.6934184432029724,0.07683452116418187,0.08057403564453125,0.693936288356781,0.12414602081325625,0.48750001192092896
156,0.6934124827384949,0.07682852027463659,0.02274608612060547,0.693932294845581,0.12413879015197261,0.48750001192092896
157,0.6934065222740173,0.07682252947893503,0.023988962173461914,0.6939281225204468,0.12413157653080684,0.48750001192092896
158,0.6934006214141846,0.07681653296829144,0.025033950805664062,0.6939241290092468,0.12412437172227173,0.48750001192092896
159,0.6933947801589966,0.07681055467560828,0.02266716957092285,0.6939201354980469,0.1241171686221695,0.48750001192092896
160,0.6933888792991638,0.07680458602478193,0.024775981903076172,0.6939160227775574,0.1241099754567427,0.48750001192092896
161,0.693382978439331,0.07679861165506882,0.024443864822387695,0.6939120292663574,0.12410277577152741,0.48875001072883606
162,0.6933770775794983,0.07679265505153508,0.023478031158447266,0.6939079761505127,0.12409558938614977,0.48875001072883606
163,0.6933711767196655,0.0767866859394278,0.024178028106689453,0.6939039826393127,0.12408842377507256,0.48875001072883606
164,0.6933652758598328,0.0767807341436157,0.08027291297912598,0.6938998699188232,0.12408122546724903,0.48875001072883606
165,0.6933594346046448,0.07677477617762739,0.023759841918945312,0.6938958168029785,0.12407405840360027,0.48875001072883606
166,0.6933534741401672,0.07676883641765421,0.023694276809692383,0.6938917636871338,0.12406690014806156,0.48875001072883606
167,0.6933476328849792,0.07676289950169975,0.024398088455200195,0.6938877105712891,0.1240597234004056,0.48875001072883606
168,0.6933416724205017,0.07675697088099157,0.024274110794067383,0.6938835978507996,0.12405257677505155,0.48875001072883606
169,0.693335771560669,0.07675104599190621,0.023723125457763672,0.6938797235488892,0.12404543185094154,0.48875001072883606
170,0.693329930305481,0.07674512984167997,0.025104999542236328,0.6938755512237549,0.1240382908679575,0.48875001072883606
171,0.6933239698410034,0.07673920929401526,0.025270700454711914,0.6938715577125549,0.12403115270400202,0.48875001072883606
172,0.6933181285858154,0.07673330605220874,0.023909807205200195,0.6938675045967102,0.12402400577261198,0.48875001072883606
173,0.6933122277259827,0.07672739751996073,0.023806095123291016,0.6938634514808655,0.12401688745582214,0.48875001072883606
174,0.6933063268661499,0.07672149093144218,0.025058746337890625,0.693859338760376,0.12400976149041812,0.48875001072883606
175,0.6933004856109619,0.07671560253278811,0.024496793746948242,0.693855345249176,0.12400265965983555,0.49125000834465027
